,Datum,UMS_BRUTTO
349,2021-12-16,280.1
350,2021-12-17,105.4
351,2021-12-18,585.9
352,2021-12-19,180.89999999999998
353,2021-12-20,169.89999999999998
354,2021-12-21,92.5
355,2021-12-22,209.79999999999998
356,2021-12-23,34.8
357,2021-12-24,0.0
358,2021-12-25,451.00000000000006
359,2021-12-26,81.69999999999999
360,2021-12-27,134.29999999999998
361,2021-12-28,0.0
362,2021-12-29,115.5
363,2021-12-30,303.1
364,2021-12-31,0.0
